,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Bitcoin Magazine'}",Namcios,"Russia Close To Legalizing International Trade In Bitcoin, Crypto: Head Of Finance Committee",The head of the State Duma finance committee reportedly said Russia will legalize the use of cryptocurrency for international trade in January 2023.,https://bitcoinmagazine.com/legal/russia-international-trade-bitcoin-january,https://bitcoinmagazine.com/.image/t_share/MTk0NjQ3MTEzMDg1MjMyMjkw/20160313_moscow_russia.jpg,2022-12-23T13:26:36Z,"Russia’s Congressional finance committee chairman, Anatoly Aksakov, said the country is moving to greenlight international trade in cryptocurrency within the next month, according to a report by nati… [+2380 chars]"
1,"{'id': None, 'name': 'Biztoc.com'}",u.today,'Maybe I Was Wrong About Cardano' Cybercapital CIO Admits After Saying It Lagged Behind,"Justin Bons appears to be changing his tune on his criticism of Cardano Justin Bons, the founder and CIO of CyberCapital and an outspoken figure in the cryptocurrency community, appears to be changing his tune on his criticism of Cardano. He responded to a us…",https://biztoc.com/x/1243814cd82a593e,https://c.biztoc.com/p/1243814cd82a593e/og.webp,2022-12-23T13:16:06Z,"Justin Bons appears to be changing his tune on his criticism of Cardano
Justin Bons, the founder and CIO of CyberCapital and an outspoken figure in the cryptocurrency community, appears to be changi… [+440 chars]"
2,"{'id': None, 'name': 'Thegatewaypundit.com'}",Joe Hoft,FTX’s SBF Out of Jail and Off to Parents Mansion in California – Judge Jeanine Says His Chances of Going to Trial Are Slim to None,SBF was able to cut a deal and go live with his parents for a while making him another lefty living in his parents’ basement. It appears that SBF made too much money for too many politicians to be tried for his crypto Ponzi scheme.  This is likely why the cor…,https://www.thegatewaypundit.com/2022/12/ftxs-sbf-jail-off-parents-mansion-california-judge-jeanine-says-chances-going-trial-slim-none/,https://www.thegatewaypundit.com/wp-content/uploads/SBF-Out-of-Jail.jpg,2022-12-23T13:15:00Z,"SBF was able to cut a deal and go live with his parents for a while making him another lefty living in his parents’ basement.
It appears that SBF made too much money for too many politicians to be t… [+2556 chars]"
3,"{'id': None, 'name': 'Biztoc.com'}",cryptopotato.com,"Crypto Price Analysis Dec-23: ETH, XRP, ADA, BNB and DOT","This week, we take a closer look at Ethereum, Ripple, Cardano, Binance Coin, and Polkadot Ethereum (ETH) ETH fell by 3.1% in the past seven days after it lost the support at $1,240, which has now turned into a resistance. The bulls stepped up at $1,150, and s…",https://biztoc.com/x/8d46a23fbdc59952,https://c.biztoc.com/p/8d46a23fbdc59952/og.webp,2022-12-23T13:10:07Z,"This week, we take a closer look at Ethereum, Ripple, Cardano, Binance Coin, and PolkadotEthereum (ETH)ETH fell by 3.1% in the past seven days after it lost the support at $1,240, which has now turne… [+424 chars]"
4,"{'id': None, 'name': 'U.Today'}",U.Today,'Maybe I Was Wrong About Cardano' Cybercapital CIO Admits After Saying It Lagged Behind,Justin Bons appears to be changing his tune on his criticism of Cardano,https://u.today/maybe-i-was-wrong-about-cardano-cybercapital-cio-admits-after-saying-it-lagged-behind,https://u.today/sites/default/files/styles/twitter/public/2022-12/29206.jpg,2022-12-23T13:09:00Z,Disclaimer: The opinion expressed here is not investment advice it is provided for informational purposes only. It does not necessarily reflect the opinion of U.Today. Every investment and all tradin… [+2530 chars]
5,"{'id': None, 'name': 'Biztoc.com'}",coinjournal.net,"Crypto price prediction: Lisk (LSK), Metal Pay (MTL), Litentry (LIT)","Cryptocurrency prices recoiled this week as investors reflected on the actions of the Federal Reserve and the collapse of FTX. Bitcoin consolidated at $16,500 while other coins like ETH and LTC moved sideways. This consolidation even as American stocks, espec…",https://biztoc.com/x/641cdbd5e357dc79,https://c.biztoc.com/p/641cdbd5e357dc79/og.webp,2022-12-23T13:08:06Z,"Cryptocurrency prices recoiled this week as investors reflected on the actions of the Federal Reserve and the collapse of FTX. Bitcoin consolidated at $16,500 while other coins like ETH and LTC moved… [+434 chars]"
6,"{'id': None, 'name': 'Coinjournal.net'}",Crispus Nyaga,"Crypto price prediction: Lisk (LSK), Metal Pay (MTL), Litentry (LIT)","Cryptocurrency prices recoiled this week as investors reflected on the actions of the Federal Reserve and the collapse of FTX. Bitcoin consolidated at $16,500 while other coins like ETH and LTC moved sideways. This consolidation even as American stocks, espec…",https://coinjournal.net/news/crypto-price-prediction-lisk-lsk-metal-pay-mtl-litentry-lit/,https://coinjournal.net/wp-content/uploads/1970/01/1670531508901-78cb2152-ca2d-461f-868f-d7e80e835669.jpg,2022-12-23T13:04:20Z,"Cryptocurrency prices
 recoiled this week as investors reflected on the actions of the Federal Reserve and the collapse of FTX. Bitcoin consolidated at $16,500 while other coins like ETH and LTC mov… [+4603 chars]"
7,"{'id': None, 'name': 'Marketscreener.com'}",MarketScreener,"DMG Blockchain Solutions Provides Mining, Petra Updates; COO Makes Open Market Share Purchase","(marketscreener.com) VANCOUVER, British Columbia, Dec. 23, 2022 -- DMG Blockchain Solutions Inc. , a vertically integrated blockchain and cryptocurrency technology company, announces it has received the majority of the equipment it has ordered from Bitmain: 7…",https://www.marketscreener.com/quote/stock/DMG-BLOCKCHAIN-SOLUTIONS-45098646/news/DMG-Blockchain-Solutions-Provides-Mining-Petra-Updates-COO-Makes-Open-Market-Share-Purchase-42611817/?utm_medium=RSS&utm_content=20221223,https://www.marketscreener.com/images/twitter_MS_fdblanc.png,2022-12-23T13:01:02Z,"VANCOUVER, British Columbia, Dec. 23, 2022 (GLOBE NEWSWIRE) -- DMG Blockchain Solutions Inc. (TSX-V: DMGI) (OTCQB: DMGGF) (FSE: 6AX) (“DMG” or the “Company”), a vertically integrated blockchain and c… [+9691 chars]"
8,"{'id': 'nbc-news', 'name': 'NBC News'}",David Ingram,Silicon Valley is coming for your gut biome,Cryptocurrency hasn’t worked out so well for tech investors. Neither has the metaverse so far.,https://www.nbcnews.com/tech/tech-news/silicon-valley-coming-gut-biome-rcna60619,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2022-12/221214-Tech-Probiotics-jg-8cbe13.jpg",2022-12-23T13:00:00Z,"SAN FRANCISCO Cryptocurrency hasnt worked out so well for tech investors. Neither has the metaverse so far. Self-driving cars have been slow to arrive, and social media doesnt have the hyper-fast gro… [+7210 chars]"
9,"{'id': None, 'name': 'GlobeNewswire'}",DMG Blockchain Solutions Inc.,"DMG Blockchain Solutions Provides Mining, Petra Updates; COO Makes Open Market Share Purchase","VANCOUVER, British Columbia, Dec. 23, 2022 (GLOBE NEWSWIRE) -- DMG Blockchain Solutions Inc. (TSX-V: DMGI) (OTCQB: DMGGF) (FSE: 6AX) (“DMG” or the “Company”), a vertically integrated blockchain and cryptocurrency technology company, announces it has received …",https://www.globenewswire.com/news-release/2022/12/23/2579123/0/en/DMG-Blockchain-Solutions-Provides-Mining-Petra-Updates-COO-Makes-Open-Market-Share-Purchase.html,https://ml.globenewswire.com/Resource/Download/7d0c7dc2-5e69-4f76-9752-b1fe62cf95cf?size=1,2022-12-23T13:00:00Z,"VANCOUVER, British Columbia, Dec. 23, 2022 (GLOBE NEWSWIRE) -- DMG Blockchain Solutions Inc. (TSX-V: DMGI) (OTCQB: DMGGF) (FSE: 6AX) (DMG or the Company), a vertically integrated blockchain and crypt… [+9675 chars]"
10,"{'id': None, 'name': 'Yahoo Entertainment'}",DMG Blockchain Solutions Inc.,"DMG Blockchain Solutions Provides Mining, Petra Updates; COO Makes Open Market Share Purchase","VANCOUVER, British Columbia, Dec. 23, 2022 (GLOBE NEWSWIRE) -- DMG Blockchain Solutions Inc. (TSX-V: DMGI) (OTCQB: DMGGF) (FSE: 6AX) (“DMG” or the “Company”)...",https://finance.yahoo.com/news/dmg-blockchain-solutions-provides-mining-130000890.html,https://media.zenfs.com/en/globenewswire.com/7249e9cff93b9c60cbac67ac4456a3af,2022-12-23T13:00:00Z,"DMG Blockchain Solutions Inc.
VANCOUVER, British Columbia, Dec. 23, 2022 (GLOBE NEWSWIRE) -- DMG Blockchain Solutions Inc. (TSX-V: DMGI) (OTCQB: DMGGF) (FSE: 6AX) (DMG or the Company), a vertically … [+9706 chars]"
